[2026-05-02T23:34:53.920+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:34:53.928+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:34:49.512161+00:00 [queued]>
[2026-05-02T23:34:53.932+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:34:49.512161+00:00 [queued]>
[2026-05-02T23:34:53.932+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2026-05-02T23:34:53.945+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): add_message_queue> on 2026-05-02 23:34:49.512161+00:00
[2026-05-02T23:34:53.951+0000] {standard_task_runner.py:72} INFO - Started process 37112 to run task
[2026-05-02T23:34:53.954+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'message_queue_dag', 'add_message_queue', 'manual__2026-05-02T23:34:49.512161+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/message_queue_dag.py', '--cfg-path', '/tmp/tmp0eaqwdpt']
[2026-05-02T23:34:53.956+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask add_message_queue
[2026-05-02T23:34:53.985+0000] {task_command.py:467} INFO - Running <TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:34:49.512161+00:00 [running]> on host ip-172-31-40-23.ec2.internal
[2026-05-02T23:34:54.040+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='message_queue_dag' AIRFLOW_CTX_TASK_ID='add_message_queue' AIRFLOW_CTX_EXECUTION_DATE='2026-05-02T23:34:49.512161+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-02T23:34:49.512161+00:00'
[2026-05-02T23:34:54.041+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-05-02T23:34:54.110+0000] {logging_mixin.py:190} INFO - Sent 204
[2026-05-02T23:34:54.120+0000] {logging_mixin.py:190} INFO - Sent 70
[2026-05-02T23:34:54.127+0000] {logging_mixin.py:190} INFO - Sent 131
[2026-05-02T23:34:54.134+0000] {logging_mixin.py:190} INFO - Sent 431
[2026-05-02T23:34:54.141+0000] {logging_mixin.py:190} INFO - Sent 540
[2026-05-02T23:34:54.148+0000] {logging_mixin.py:190} INFO - Sent 567
[2026-05-02T23:34:54.156+0000] {logging_mixin.py:190} INFO - Sent 369
[2026-05-02T23:34:54.164+0000] {logging_mixin.py:190} INFO - Sent 29
[2026-05-02T23:34:54.171+0000] {logging_mixin.py:190} INFO - Sent 81
[2026-05-02T23:34:54.177+0000] {logging_mixin.py:190} INFO - Sent 477
[2026-05-02T23:34:54.184+0000] {logging_mixin.py:190} INFO - Sent 457
[2026-05-02T23:34:54.190+0000] {logging_mixin.py:190} INFO - Sent 167
[2026-05-02T23:34:54.197+0000] {logging_mixin.py:190} INFO - Sent 165
[2026-05-02T23:34:54.203+0000] {logging_mixin.py:190} INFO - Sent 329
[2026-05-02T23:34:54.211+0000] {logging_mixin.py:190} INFO - Sent 527
[2026-05-02T23:34:54.217+0000] {logging_mixin.py:190} INFO - Sent 83
[2026-05-02T23:34:54.225+0000] {logging_mixin.py:190} INFO - Sent 511
[2026-05-02T23:34:54.231+0000] {logging_mixin.py:190} INFO - Sent 556
[2026-05-02T23:34:54.238+0000] {logging_mixin.py:190} INFO - Sent 101
[2026-05-02T23:34:54.246+0000] {logging_mixin.py:190} INFO - Sent 535
[2026-05-02T23:34:54.253+0000] {logging_mixin.py:190} INFO - Sent 73
[2026-05-02T23:34:54.259+0000] {logging_mixin.py:190} INFO - Sent 394
[2026-05-02T23:34:54.266+0000] {logging_mixin.py:190} INFO - Sent 393
[2026-05-02T23:34:54.272+0000] {logging_mixin.py:190} INFO - Sent 425
[2026-05-02T23:34:54.280+0000] {logging_mixin.py:190} INFO - Sent 305
[2026-05-02T23:34:54.287+0000] {logging_mixin.py:190} INFO - Sent 76
[2026-05-02T23:34:54.294+0000] {logging_mixin.py:190} INFO - Sent 384
[2026-05-02T23:34:54.301+0000] {logging_mixin.py:190} INFO - Sent 555
[2026-05-02T23:34:54.308+0000] {logging_mixin.py:190} INFO - Sent 362
[2026-05-02T23:34:54.314+0000] {logging_mixin.py:190} INFO - Sent 72
[2026-05-02T23:34:54.322+0000] {logging_mixin.py:190} INFO - Sent 551
[2026-05-02T23:34:54.332+0000] {logging_mixin.py:190} INFO - Sent 158
[2026-05-02T23:34:54.341+0000] {logging_mixin.py:190} INFO - Sent 424
[2026-05-02T23:34:54.347+0000] {logging_mixin.py:190} INFO - Sent 532
[2026-05-02T23:34:54.354+0000] {logging_mixin.py:190} INFO - Sent 222
[2026-05-02T23:34:54.361+0000] {logging_mixin.py:190} INFO - Sent 55
[2026-05-02T23:34:54.372+0000] {logging_mixin.py:190} INFO - Sent 10
[2026-05-02T23:34:54.380+0000] {logging_mixin.py:190} INFO - Sent 281
