[2026-05-02T23:42:40.913+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:42:40.921+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:40.926+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [queued]>
[2026-05-02T23:42:40.926+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2026-05-02T23:42:40.944+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): add_message_queue> on 2026-05-02 23:42:36.455860+00:00
[2026-05-02T23:42:40.949+0000] {standard_task_runner.py:72} INFO - Started process 40504 to run task
[2026-05-02T23:42:40.953+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'message_queue_dag', 'add_message_queue', 'manual__2026-05-02T23:42:36.455860+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/message_queue_dag.py', '--cfg-path', '/tmp/tmph6g4h7d2']
[2026-05-02T23:42:40.954+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask add_message_queue
[2026-05-02T23:42:40.982+0000] {task_command.py:467} INFO - Running <TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:42:36.455860+00:00 [running]> on host ip-172-31-40-23.ec2.internal
[2026-05-02T23:42:41.036+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='message_queue_dag' AIRFLOW_CTX_TASK_ID='add_message_queue' AIRFLOW_CTX_EXECUTION_DATE='2026-05-02T23:42:36.455860+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-02T23:42:36.455860+00:00'
[2026-05-02T23:42:41.036+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-05-02T23:42:41.103+0000] {logging_mixin.py:190} INFO - Sent 204
[2026-05-02T23:42:41.113+0000] {logging_mixin.py:190} INFO - Sent 70
[2026-05-02T23:42:41.127+0000] {logging_mixin.py:190} INFO - Sent 131
[2026-05-02T23:42:41.134+0000] {logging_mixin.py:190} INFO - Sent 431
[2026-05-02T23:42:41.142+0000] {logging_mixin.py:190} INFO - Sent 540
[2026-05-02T23:42:41.148+0000] {logging_mixin.py:190} INFO - Sent 567
[2026-05-02T23:42:41.156+0000] {logging_mixin.py:190} INFO - Sent 369
[2026-05-02T23:42:41.164+0000] {logging_mixin.py:190} INFO - Sent 29
[2026-05-02T23:42:41.172+0000] {logging_mixin.py:190} INFO - Sent 81
[2026-05-02T23:42:41.179+0000] {logging_mixin.py:190} INFO - Sent 477
[2026-05-02T23:42:41.186+0000] {logging_mixin.py:190} INFO - Sent 457
[2026-05-02T23:42:41.196+0000] {logging_mixin.py:190} INFO - Sent 167
[2026-05-02T23:42:41.202+0000] {logging_mixin.py:190} INFO - Sent 165
[2026-05-02T23:42:41.209+0000] {logging_mixin.py:190} INFO - Sent 329
[2026-05-02T23:42:41.217+0000] {logging_mixin.py:190} INFO - Sent 527
[2026-05-02T23:42:41.224+0000] {logging_mixin.py:190} INFO - Sent 83
[2026-05-02T23:42:41.233+0000] {logging_mixin.py:190} INFO - Sent 511
[2026-05-02T23:42:41.240+0000] {logging_mixin.py:190} INFO - Sent 556
[2026-05-02T23:42:41.247+0000] {logging_mixin.py:190} INFO - Sent 101
[2026-05-02T23:42:41.254+0000] {logging_mixin.py:190} INFO - Sent 535
[2026-05-02T23:42:41.261+0000] {logging_mixin.py:190} INFO - Sent 73
[2026-05-02T23:42:41.268+0000] {logging_mixin.py:190} INFO - Sent 394
[2026-05-02T23:42:41.275+0000] {logging_mixin.py:190} INFO - Sent 393
[2026-05-02T23:42:41.283+0000] {logging_mixin.py:190} INFO - Sent 425
[2026-05-02T23:42:41.291+0000] {logging_mixin.py:190} INFO - Sent 305
