[2026-05-02T23:46:12.421+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-05-02T23:46:12.429+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:12.433+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [queued]>
[2026-05-02T23:46:12.433+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2026-05-02T23:46:12.447+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): add_message_queue> on 2026-05-02 23:46:08.027863+00:00
[2026-05-02T23:46:12.452+0000] {standard_task_runner.py:72} INFO - Started process 41865 to run task
[2026-05-02T23:46:12.456+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'message_queue_dag', 'add_message_queue', 'manual__2026-05-02T23:46:08.027863+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/message_queue_dag.py', '--cfg-path', '/tmp/tmpj03yaeeo']
[2026-05-02T23:46:12.457+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask add_message_queue
[2026-05-02T23:46:12.488+0000] {task_command.py:467} INFO - Running <TaskInstance: message_queue_dag.add_message_queue manual__2026-05-02T23:46:08.027863+00:00 [running]> on host ip-172-31-40-23.ec2.internal
[2026-05-02T23:46:12.549+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='message_queue_dag' AIRFLOW_CTX_TASK_ID='add_message_queue' AIRFLOW_CTX_EXECUTION_DATE='2026-05-02T23:46:08.027863+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-02T23:46:08.027863+00:00'
[2026-05-02T23:46:12.550+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-05-02T23:46:12.622+0000] {logging_mixin.py:190} INFO - Sent 204
[2026-05-02T23:46:12.633+0000] {logging_mixin.py:190} INFO - Sent 70
[2026-05-02T23:46:12.641+0000] {logging_mixin.py:190} INFO - Sent 131
[2026-05-02T23:46:12.647+0000] {logging_mixin.py:190} INFO - Sent 431
[2026-05-02T23:46:12.655+0000] {logging_mixin.py:190} INFO - Sent 540
[2026-05-02T23:46:12.671+0000] {logging_mixin.py:190} INFO - Sent 567
[2026-05-02T23:46:12.679+0000] {logging_mixin.py:190} INFO - Sent 369
[2026-05-02T23:46:12.685+0000] {logging_mixin.py:190} INFO - Sent 29
[2026-05-02T23:46:12.697+0000] {logging_mixin.py:190} INFO - Sent 81
[2026-05-02T23:46:12.705+0000] {logging_mixin.py:190} INFO - Sent 477
[2026-05-02T23:46:12.711+0000] {logging_mixin.py:190} INFO - Sent 457
[2026-05-02T23:46:12.719+0000] {logging_mixin.py:190} INFO - Sent 167
[2026-05-02T23:46:12.725+0000] {logging_mixin.py:190} INFO - Sent 165
[2026-05-02T23:46:12.733+0000] {logging_mixin.py:190} INFO - Sent 329
[2026-05-02T23:46:12.739+0000] {logging_mixin.py:190} INFO - Sent 527
[2026-05-02T23:46:12.746+0000] {logging_mixin.py:190} INFO - Sent 83
[2026-05-02T23:46:12.753+0000] {logging_mixin.py:190} INFO - Sent 511
[2026-05-02T23:46:12.760+0000] {logging_mixin.py:190} INFO - Sent 556
[2026-05-02T23:46:12.766+0000] {logging_mixin.py:190} INFO - Sent 101
[2026-05-02T23:46:12.773+0000] {logging_mixin.py:190} INFO - Sent 535
[2026-05-02T23:46:12.779+0000] {logging_mixin.py:190} INFO - Sent 73
[2026-05-02T23:46:12.785+0000] {logging_mixin.py:190} INFO - Sent 394
[2026-05-02T23:46:12.792+0000] {logging_mixin.py:190} INFO - Sent 393
[2026-05-02T23:46:12.806+0000] {logging_mixin.py:190} INFO - Sent 425
[2026-05-02T23:46:12.814+0000] {logging_mixin.py:190} INFO - Sent 305
[2026-05-02T23:46:12.820+0000] {logging_mixin.py:190} INFO - Sent 76
[2026-05-02T23:46:12.827+0000] {logging_mixin.py:190} INFO - Sent 384
[2026-05-02T23:46:12.841+0000] {logging_mixin.py:190} INFO - Sent 555
[2026-05-02T23:46:12.847+0000] {logging_mixin.py:190} INFO - Sent 362
[2026-05-02T23:46:12.854+0000] {logging_mixin.py:190} INFO - Sent 72
[2026-05-02T23:46:12.862+0000] {logging_mixin.py:190} INFO - Sent 551
[2026-05-02T23:46:12.869+0000] {logging_mixin.py:190} INFO - Sent 158
[2026-05-02T23:46:12.876+0000] {logging_mixin.py:190} INFO - Sent 424
[2026-05-02T23:46:12.884+0000] {logging_mixin.py:190} INFO - Sent 532
[2026-05-02T23:46:12.890+0000] {logging_mixin.py:190} INFO - Sent 222
[2026-05-02T23:46:12.897+0000] {logging_mixin.py:190} INFO - Sent 55
[2026-05-02T23:46:12.904+0000] {logging_mixin.py:190} INFO - Sent 10
[2026-05-02T23:46:12.911+0000] {logging_mixin.py:190} INFO - Sent 281
[2026-05-02T23:46:12.918+0000] {logging_mixin.py:190} INFO - Sent 6
[2026-05-02T23:46:12.924+0000] {logging_mixin.py:190} INFO - Sent 90
[2026-05-02T23:46:12.931+0000] {logging_mixin.py:190} INFO - Sent 104
[2026-05-02T23:46:12.939+0000] {logging_mixin.py:190} INFO - Sent 353
[2026-05-02T23:46:12.946+0000] {logging_mixin.py:190} INFO - Sent 422
